slug,field,regex_parse,ledger_transcription
achara-point-lighthouse,alol,"F 0592","F0592"
achara-point-lighthouse,char_raw,"Flash(2) White every 06 sec 5","Flash(2) White every 06 sec"
agatti-lighthouse,tower_type,"None","G I. Trestle tower on RCC Base"
agatti-lighthouse,solar,"False","True"
aguada-lighthouse-and-dgps-station,alol,"F 0606","F0606"
aguada-lighthouse-and-dgps-station,char_raw,"Flash 3 white every 20 sec. 5","Flash 3 white every 20 sec."
aguada-lighthouse-and-dgps-station,tower_type,"Rectangular R.C.C White","Rectangular R.C.C White Tower"
aguada-lighthouse-and-dgps-station,solar,"False","True"
alang-lighthouse,char_raw,"Fl W 3 Sec. (0.42+2.58=3 Sec.) 5","Fl W 3 Sec. (0.42+2.58=3 Sec.)"
alang-lighthouse,flash_s,"None","0.42"
alappuzha-lighthouse,char_raw,"None","Fl (1) W 15 sec (fl 0.8)"
alappuzha-lighthouse,period,"None","15"
alappuzha-lighthouse,tower_type,"equipment","Circular masonry tower"
alappuzha-lighthouse,solar,"False","True"
amini-lighthouse,alol,"F 0754.4","F-0754.4"
amini-lighthouse,char_raw,"Fl (1) White 15Sec 5","Fl (1) White 15Sec"
amini-lighthouse,range_lum_nm,"None","16.8"
amini-lighthouse,tower_type,"LED Flasher","G I trestle tower"
amini-lighthouse,solar,"False","True"
ammapattinam-lighthouse,tower_type,"LED","RCC Circular Tower"
ammapattinam-lighthouse,solar,"False","True"
andaman-strait-eastern-entrance-lighthouse,flash_s,"None","0.9"
andaman-strait-eastern-entrance-lighthouse,solar,"False","True"
androth-east-lighthouse,alol,"F 0755","F-0755"
androth-east-lighthouse,solar,"False","True"
androth-west-lighthouse,alol,"F 0755.2","0755.2"
androth-west-lighthouse,tower_type,"Circular Tapering CCTower","Circular Tapering CC Tower"
anjengo-lighthouse,alol,"F 0715","F-0715"
anjengo-lighthouse,elev_m,"38.0","39.6"
anjengo-lighthouse,phases,"[]","[0.44, 3.33, 0.44, 15.79]"
anjengo-lighthouse,flash_s,"None","0.44"
anjengo-lighthouse,solar,"False","True"
antervedi-lighthouse,alol,"None","0957"
antervedi-lighthouse,char_raw,"(FL0.4+ec3.4+FL0.4+ec10.8)","Flash (2) White every 15 Sec (FL0.4+ec3.4+FL0.4+ec10.8)"
antervedi-lighthouse,group,"1","2"
antervedi-lighthouse,period,"3.8","15"
antervedi-lighthouse,phases,"[0.4, 3.4]","[0.4, 3.4, 0.4, 10.8]"
antervedi-lighthouse,tower_colour,"None","Red & White bands"
armagon-lighthouse,flash_s,"None","0.38"
armagon-lighthouse,tower_colour,"None","Red and White bands"
armagon-lighthouse,intensity_cd,"66000","166000"
armagon-lighthouse,ais,"False","True"
armagon-lighthouse,solar,"False","True"
arnala-lighthouse,char_raw,"FL 3 WR 15 Sec. (FL 0.83 Sec.) 5","FL 3 WR 15 Sec. (FL 0.83 Sec.)"
arnala-lighthouse,tower_type,"RCC tower by using slip from","RCC tower by using slip from method with spiral half round staircase and lift"
arnala-lighthouse,solar,"False","True"
aves-lighthouse,char_raw,"Fl (2) W 7 Sec (fl 1.0, ec 1.0, fl 1.0 ,ec 4.0)","Fl (2) W 7 Sec (fl 1.0, ec 1.0, fl 1.0, ec 4.0)"
aves-lighthouse,phases,"[1.0, 1.0]","[1.0, 1.0, 1.0, 4.0]"
aves-lighthouse,flash_s,"None","1.0"
aves-lighthouse,solar,"False","True"
azhikode-lighthouse-and-dgps-station,alol,"F 0694.5","0694.5"
azhikode-lighthouse-and-dgps-station,range_lum_nm,"12.0","19"
azhikode-lighthouse-and-dgps-station,solar,"False","True"
balachadi-vts-station,tower_type,"None","RCC Circular concrete Tower"
balachadi-vts-station,tower_colour,"None","White color. (Bottom to Top)"
balachadi-vts-station,solar,"False","True"
balasore-navtex-station,ais,"False","True"
bampoka-lighthouse,phases,"[1.0, 2.0]","[1.0, 2.0, 1.0, 16.0]"
bampoka-lighthouse,flash_s,"None","1"
bampoka-lighthouse,solar,"False","True"
baruva-lighthouse,elev_m,"9.0","40"
baruva-lighthouse,tower_type,"None","RCC structure (Octagonal Shape)"
baruva-lighthouse,tower_h_m,"None","30"
baruva-lighthouse,tower_colour,"None","Black and White Bands"
baruva-lighthouse,ais,"False","True"
baruva-lighthouse,solar,"False","True"
battimalv-lighthouse,char_raw,"Fl (4) W 20 Sec (fl 0.5, ec 1, fl 0.5, ec1, fl0.5, ec 1, fl 0.5, ec 15)","Fl (4) W 20 Sec (fl 0.5, ec 1, fl 0.5, ec 1, fl 0.5, ec 1, fl 0.5, ec 15)"
battimalv-lighthouse,phases,"[0.5, 1.0]","[0.5, 1.0, 0.5, 1.0, 0.5, 1.0, 0.5, 15.0]"
battimalv-lighthouse,flash_s,"None","0.5"
battimalv-lighthouse,solar,"False","True"
belekeri-lighthouse,char_raw,"Fl. (3)White 10 sec. 5","Fl. (3)White 10 sec."
betul-lighthouse,char_raw,"FL4 (W) 15S 5","FL4 (W) 15S"
betul-lighthouse,solar,"False","True"
beypore-lighthouse,alol,"None","F-0689"
beypore-lighthouse,char_raw,"Flash (2) White-15 Seconds eristic","Flash (2) White-15 Seconds"
beypore-lighthouse,phases,"[]","[0.48, 3.27, 0.48, 10.77]"
beypore-lighthouse,flash_s,"None","0.48"
beypore-lighthouse,tower_type,"Size","Hexagonal RCC"
beypore-lighthouse,solar,"False","True"
bhadreshwar-vts-repeater-and-lighthouse-station,group,"1","3"
bhadreshwar-vts-repeater-and-lighthouse-station,phases,"[1.0, 2.0]","[1.0, 2.0, 1.0, 2.0, 1.0, 13.0]"
bhadreshwar-vts-repeater-and-lighthouse-station,tower_colour,"None","White"
bhatkal-lighthouse,kind,"Oc","Fl"
bhatkal-lighthouse,phases,"[0.23, 14.77]","[0.23, 4.77, 0.23, 14.77]"
bhatkal-lighthouse,solar,"False","True"
bheemlipatnam-lighthouse,lat,"17.938333333333333","17.941667"
