id	name	directorate	kind	alternate names
koteshwar-lighthouse-vts-station	Koteshwar Lighthouse & VTS station	Gandhidham (VTS)	lighthouse	Koteshwar
jakhau-lighthouse-and-vts-station	Jakhau Lighthouse and Vts Station	Gandhidham (VTS)	lighthouse	Jakhau
navlakhi-lighthouse	Navlakhi Lighthouse	Gandhidham (VTS)	lighthouse	Navlakhi
chhachhi-lighthouse-and-vts-station	Chhachhi Lighthouse And Vts Station	Gandhidham (VTS)	lighthouse	Chhachhi
bhadreshwar-vts-repeater-and-lighthouse-station	Bhadreshwar Vts Repeater And Lighthouse Station	Gandhidham (VTS)	lighthouse	Bhadreshwar Vts Repeater And
mandvi-lighthouse-vts-station	Mandvi Lighthouse & Vts Station	Gandhidham (VTS)	lighthouse	Mandvi
rawal-pir-lighthouse	Rawal Pir Lighthouse	Gandhidham (VTS)	lighthouse	Rawal Pir
navinal-lighthouse-and-vts-station	Navinal Lighthouse And Vts Station	Gandhidham (VTS)	lighthouse	Navinal
mungra-reef-lighthouse	Mungra Reef Lighthouse	Gandhidham (VTS)	lighthouse	Mungra Reef
jodiya-lighthouse	Jodiya Lighthouse	Gandhidham (VTS)	lighthouse	Jodiya
mawadi-point-beacon	Mawadi Point Beacon	Gandhidham (VTS)	lighthouse	
pirotan-lighthouse	Pirotan Lighthouse	Gandhidham (VTS)	lighthouse	Pirotan
chank-tapu-lighthouse	Chank Tapu Lighthouse	Gandhidham (VTS)	lighthouse	Chank Tapu
bural-reef-lighthouse	Bural Reef Lighthouse	Gandhidham (VTS)	lighthouse	Bural Reef
samiyani-north-island-lighthouse-station	Samiyani North Island Lighthouse Station	Gandhidham (VTS)	lighthouse	Samiyani North Island
samiyani-island-lighthouse-station	Samiyani Island Lighthouse Station	Gandhidham (VTS)	lighthouse	Samiyani Island
okha-lighthouse-dgps-and-vts-station	OKHA Lighthouse DGPS And VTS Station	Gandhidham (VTS)	lighthouse	OKHA
kalubhar-lighthouse	Kalubhar Lighthouse	Gandhidham (VTS)	lighthouse	Kalubhar
kachhigadh-lighthouse	Kachchigadh Lighthouse	Jamnagar	lighthouse	Kachchigadh
dwarka-point-lighthouse	Dwarka Point Lighthouse	Jamnagar	lighthouse	Dwarka Point
navadra-lighthouse	Navadra Lighthouse	Jamnagar	lighthouse	Navadra
dariapur-lighthouse	Dariapur Lighthouse	Kolkata	lighthouse	Dariapur
ruvapari-lighthouse	Ruvapari Lighthouse	Jamnagar	lighthouse	Ruvapari
perigee-light-vesselmain-light	Perigee Light Vessel(Main Light)	Jamnagar	lightvessel	
ghogha-lighthouse	Ghogha Lighthouse	Jamnagar	lighthouse	Ghogha
luhara-point-lighthouse	Luhara Point Lighthouse	Mumbai	lighthouse	Luhara Point
tajpur-lighthouse	Tajpur Lighthouse	Kolkata	lighthouse	Tajpur
porbandar-lighthouse	Porbandar Lighthouse	Jamnagar	lighthouse	Porbandar
piram-lighthouse	Piram Lighthouse	Jamnagar	lighthouse	Piram
navibandar-lighthouse	Navibandar Lighthouse	Jamnagar	lighthouse	Navibandar
alang-lighthouse	Alang Lighthouse	Jamnagar	lighthouse	Alang
gopnath-lighthouse-dgps-station	Gopnath Lighthouse & Dgps Station	Jamnagar	lighthouse	Gopnath; Gopnath Lighthouse &
jhanjhmer-lighthouse	Jhanjhmer Lighthouse	Jamnagar	lighthouse	Jhanjhmer
mangrol-lighthouse	Mangrol Lighthouse	Jamnagar	lighthouse	Mangrol
hazira-lighthouse-and-dgps-station	Hazira Lighthouse And D.G.P.S Station	Mumbai	lighthouse	Hazira
jegri-island-lighthouse	Jegri island Lighthouse	Jamnagar	lighthouse	Jegri island
wasi-borsi-lighthouse	Wasi Borsi Lighthouse	Mumbai	lighthouse	Wasi Borsi
veraval-lighthouse	Veraval Lighthouse	Jamnagar	lighthouse	Veraval
savaibet-lighthouse	Savaibet Lighthouse	Jamnagar	lighthouse	Savaibet
bhirbhanjan-lighthouse	Bhirbhanjan Lighthouse	Jamnagar	lighthouse	Bhirbhanjan
jafrabad-lighthouse	Jafrabad Lighthouse	Jamnagar	lighthouse	Jafrabad
kanai-creek-lighthouse	Kanai Creek Lighthouse	Mumbai	lighthouse	Kanai Creek
saiyad-rajpara-lighthouse	Saiyad Rajpara Lighthouse	Jamnagar	lighthouse	Saiyad Rajpara
simar-lighthouse	Simar Lighthouse	Jamnagar	lighthouse	Simar
nawabander-lighthouse	Nawabander Lighthouse	Jamnagar	lighthouse	Nawabander
diu-head-lighthouse	Diu-head Lighthouse	Jamnagar	lighthouse	Diu-head
valsad-khadi-lighthouse	Valsad Khadi Lighthouse	Mumbai	lighthouse	Valsad Khadi
false-point-lighthouse	False Point Lighthouse	Kolkata	lighthouse	False Point
paradeep-lighthouse	Paradeep Lighthouse	Kolkata	lighthouse	Paradeep
umergam-lighthouse	Umergam Lighthouse	Mumbai	lighthouse	Umergam
dahanu-lighthouse	Dahanu Lighthouse	Mumbai	lighthouse	Dahanu
chandrabhaga-lighthouse	Chandrabhaga Lighthouse	Kolkata	lighthouse	Chandrabhaga
tarapur-point-lighthouse	Tarapur Point Lighthouse	Mumbai	lighthouse	Tarapur Point
puri-lighthouse	Puri Lighthouse	Kolkata	lighthouse	Puri
satpati-lighthouse	Satpati Lighthouse	Mumbai	lighthouse	Satpati
prayagi-lighthouse	Prayagi Lighthouse	Kolkata	lighthouse	Prayagi
arnala-lighthouse	Arnala Lighthouse	Mumbai	lighthouse	Arnala
uttan-point-lighthouse-and-dgps-station	Uttan Point Lighthouse and DGPS Station	Mumbai	lighthouse	Uttan Point; Uttan Point Lighthouse and
gopalpur-lighthouse	Gopalpur Lighthouse	Kolkata	lighthouse	Gopalpur
baruva-lighthouse	Baruva Lighthouse	Kolkata	lighthouse	Baruva
prongs-reef-lighthouse	Prongs reef Lighthouse	Mumbai	lighthouse	Prongs reef
kanhoji-angre-lighthouse	Kanhoji Angre Lighthouse	Mumbai	lighthouse	Kanhoji Angre
chaul-kadu-lighthouse	Chaul kadu lighthouse	Mumbai	lighthouse	Chaul kadu
korlai-fort-lighthouse	Korlai Fort Lighthouse	Mumbai	lighthouse	Korlai Fort
kalingapatnam-lighthouse	Kalingapatnam Lighthouse	Kolkata	lighthouse	Kalingapatnam
nanwel-point-lighthouse	Nanwel Point Lighthouse	Mumbai	lighthouse	Nanwel Point
santapalli-lighthouse	Santapalli Lighthouse	Visakhapatnam	lighthouse	Santapalli
bheemlipatnam-lighthouse	Bheemlipatnam Lighthouse	Visakhapatnam	lighthouse	Bheemlipatnam
kelshi-lighthouse	Kelshi (Anjarle) Lighthouse	Mumbai	lighthouse	Kelshi (Anjarle)
harnai-lighthouse	Harnai Lighthouse	Mumbai	lighthouse	Harnai
dolphin-nose-lighthouse	Dolphin Nose Lighthouse	Visakhapatnam	lighthouse	Dolphin Nose
tolkeshwar-point-lighthouse	Tolkeshwar Point Lighthouse	Mumbai	lighthouse	Tolkeshwar Point
pudimadaka-lighthouse	Pudimadaka Lighthouse	Visakhapatnam	lighthouse	Pudimadaka
pentakota-lighthouse	Pentakota Lighthouse	Visakhapatnam	lighthouse	Pentakota
jaigarh-lighthouse	Jaigarh Lighthouse	Mumbai	lighthouse	Jaigarh
vakalapudi-lighthouse	Vakalapudi Lighthouse	Visakhapatnam	lighthouse	Vakalapudi
ratnagiri-town-and-dgps-station	Ratnagiri Town and DGPS Station	Mumbai	lighthouse	Ratnagiri Town and
rajapur-bay-lighthouse	Rajapur Bay Lighthouse	Mumbai	lighthouse	Rajapur Bay
sacramento-lighthouse	Sacramento Lighthouse	Visakhapatnam	lighthouse	Sacramento
ravaport-lighthouse	Ravaport Lighthouse	Visakhapatnam	lighthouse	Ravaport
devgad-lighthouse	Devgad Lighthouse	Goa	lighthouse	Devgad
antervedi-lighthouse	Antervedi Lighthouse	Visakhapatnam	lighthouse	Antervedi
machilipatnam-lighthouse	Machilipatnam Lighthouse	Visakhapatnam	lighthouse	Machilipatnam
achara-point-lighthouse	Achara Point Lighthouse	Goa	lighthouse	Achara Point
vengurla-rocks-lighthouse	Vengurla Rocks Lighthouse	Goa	lighthouse	Vengurla Rocks
nizampatnam-lighthouse	Nizampatnam Lighthouse	Visakhapatnam	lighthouse	Nizampatnam
vengurla-point-lighthouse	Vengurla Point Lighthouse	Goa	lighthouse	Vengurla Point
vodarevu-lighthouse	Vodarevu Lighthouse	Visakhapatnam	lighthouse	Vodarevu
nagayalanka-lighthouse	Nagayalanka Lighthouse	Visakhapatnam	lighthouse	Nagayalanka
aguada-lighthouse-and-dgps-station	Aguada Lighthouse And D.g.p.s Station	Goa	lighthouse	Aguada
st-george-island-lighthouse	The St. George Island Lighthouse	Goa	lighthouse	The St. George Island
betul-lighthouse	Betul Lighthouse	Goa	lighthouse	Betul
ramayapatnam-lighthouse	Ramayapatnam Lighthouse	Visakhapatnam	lighthouse	Ramayapatnam
oyster-rocks-lighthouse	The Oyster Rocks lighthouse	Goa	lighthouse	The Oyster Rocks
isakapalli-lighthouse	Isakapalli Lighthouse	Visakhapatnam	lighthouse	Isakapalli
belekeri-lighthouse	Belekeri Lighthouse	Goa	lighthouse	Belekeri
tadri-lighthouse	Tadri Lighthouse	Goa	lighthouse	Tadri
krishnapatnam-lighthouse	Krishnapatnam Lighthouse	Visakhapatnam	lighthouse	Krishnapatnam
honnavar-lighthouse	Honnavar Lighthouse	Goa	lighthouse	Honnavar
bhatkal-lighthouse	Bhatkal Lighthouse	Goa	lighthouse	Bhatkal
armagon-lighthouse	Armagon Lighthouse	Visakhapatnam	lighthouse	Armagon
kundapur-lighthouse	Kundapur Lighthouse	Goa	lighthouse	Kundapur
pulicat-lighthouse-and-dgps-station	Pulicat Lighthouse And DGPS Station	Chennai	lighthouse	Pulicat; Pulicat Lighthouse And
malpe-lighthouse	Malpe Lighthouse	Goa	lighthouse	Malpe
kaup-lighthouse	Kaup Lighthouse	Goa	lighthouse	Kaup
chennai-lighthouse	CHENNAI LIGHTHOUSE	Chennai	lighthouse	CHENNAI
surathkal-lighthouse-and-dgps-station	Surathkal Lighthouse and D.G.P.S Station	Goa	lighthouse	Surathkal
mahabalipuram-lighthouse	MAHABALIPURAM LIGHTHOUSE	Chennai	lighthouse	MAHABALIPURAM
kasargod-lighthouse	KASARGOD LIGHTHOUSE	Kochi	lighthouse	KASARGOD
kadapakkam-lighthouse	KADAPAKKAM LIGHTHOUSE	Chennai	lighthouse	KADAPAKKAM
mount-dilli-lighthouse	MOUNT DILLI LIGHTHOUSE	Kochi	lighthouse	MOUNT DILLI
puducherry-lighthouse-and-dgps-station	Puducherry Lighthouse And DGPS Station	Chennai	lighthouse	Puducherry; Puducherry Lighthouse And
kannur-lighthouse	Kannur Lighthouse	Kochi	lighthouse	Kannur
cuddalore-lighthouse	Cuddalore Lighthouse	Chennai	lighthouse	Cuddalore
mahe-lighthouse	Mahe Lighthouse	Kochi	lighthouse	Mahe
chetlat-lighthouse	CHETLAT LIGHTHOUSE	Kochi	lighthouse	CHETLAT
bitra-lighthouse	BITRA LIGHTHOUSE	Kochi	lighthouse	BITRA
portonovo-lighthouse-and-navtex-station	Portonovo Lighthouse And Navtex Station	Chennai	lighthouse	Portonovo
kiltan-lighthouse-north	KILTAN LIGHTHOUSE (NORTH)	Kochi	lighthouse	KILTAN
kiltan-lighthouse-south	KILTAN LIGHTHOUSE (SOUTH)	Kochi	lighthouse	KILTAN
