id,name,kind,region,lat,lon,pos_src,address,alol,char,ckind,colour,group,period,phases,phases_src,flash_s,sectored,sectors_text,lum_nm,geo_nm,iala_nm,reach_nm,intensity_cd,elev_m,optic,optic_order,optic_evidence,optic_make,optic_model,optic_type,optic_size,rpm,panels,panels_total,panels_note,led,solar,ais,dgps,racon,navtex,vts,tower_type,tower_h_m,tower_colour,tower_year,established,visit,tourism,museum,record,ledger_url,page_url,rowlett,arlhs,wikidata,photo,transcribed,no_ledger,ledger_issues,equip_years,equip_since,tenders,photo_credit
koteshwar-lighthouse-vts-station,Koteshwar Lighthouse & VTS station,lighthouse,Gandhidham (VTS),23.68433,68.53,DGLL ledger,,F-0354,"Fl (2)W15 sec [(fl 1s, ec 3s), fl 1s, ec10s]",Fl,W,2,15,"[1.0, 3.0, 1.0, 10.0]",ledger,1,False,,18,19.4,19.5,18,94400,50.3,flasher,,Type of Light (LED Flasher); Type of Light structure: Stationary LED flashing light,"Sealite, Australia",SL300-1D5-1-W,LED Flasher,373mm lens diameter,,,,,True,True,False,False,,,True,RCC Circular concrete Tower,60,4 black and 3 white bands. (Bottom band black),2014,2014,grounds,False,False,True,https://www.dgll.nic.in/sites/default/files/2022-11/Koteshwar_0.pdf,https://www.dgll.nic.in/DGLL-light-house-location/about-vts-gandhi-dham/koteshwar-lighthouse-vts-station,"2014 (?). Active; focal plane 60 m (197 ft); two white flashes every 15 s. Approx. 57 m (187 ft) round cylindrical concrete tower with lantern and gallery, painted with black and white horizontal bands. Jay Thakker has a 2023 photo, Tanmay Vora has a photo, Lightphotos.net has a photo, and Google has a satellite view. This is both the northernmost and the westernmost lighthouse of India. It has strategic value, standing to the east of the disputed Rann of Kutch area on the Pakistani frontier. Located on the south side of the village of Koteshwar facing the inlet known as Kori Creek. Site open, tower closed. Admiralty F0354; NGA 28420.5.",,,https://www.dgll.nic.in/sites/default/files/2022-09/Koteshwar%201.png,True,,"[""Elevation given as sum '46.5+3.8=50.3 M'"", ""Vertical divergence stated only as '>1.5°'"", ""Physical characteristic values are misaligned with their labels on page 1 (e.g. lens diameter/height/width rows shifted)"", ""No RACON/NAIS/DGPS sections; page numbering reads 'Page 9 of 8'""]",{},{},[2303],DGLL
jakhau-lighthouse-and-vts-station,Jakhau Lighthouse and Vts Station,lighthouse,Gandhidham (VTS),23.23933,68.60717,DGLL ledger,"Jakhau Lighthouse & VTS Station, PO- Jakhau, Taluka – Abdasa Distt. Kutch Gujarat – 370640",F 0355,Fl W 10 sec. (0.3 flash+9.7eclipse =10 sec.),Fl,W,1,10,"[0.3, 9.7]",ledger,0.3,False,,17,18,,17,,46,revolving,3,375mm (3rd order small) revolving type; Rotation device: electrically operated stepper motor; R.P.M 2,Stone chance,,revolving type,375mm,2,3,,,True,True,True,False,M,,True,Double shell RCC Circular tower,41,"4 red and 3 white bands (Band width 5.6 mtrs, bottom band red, nos. of bands - 7)",1965,1957,grounds,False,False,True,https://www.dgll.nic.in/sites/default/files/2022-12/Master%20Ledger%20Gandhidham%2003.pdf,https://www.dgll.nic.in/DGLL-light-house-location/about-vts-gandhidham/jakhau-lighthouse-and-vts-station,"1965 (station established 1957). Active; focal plane 46 m (151 ft); white flash every 10 s. 41 m (135 ft) round cylindrical concrete tower with lantern and gallery, painted with horizontal red and white bands. Prashant Chauhan's 2024 photo is at right, Chandrakant Swain has a 2018 photo, DGLL has a photo of the 60 m (197 ft) traffic control tower that stands next to the lighthouse, Chandrakant Swain has a photo of both towers, and Google has a satellite view. The original lighthouse here was replaced in 1964. Located on the main quay of Jakhau, a fishing port in western Kachchh. Site open, tower closed. ARLHS IND-138; Admiralty F0355; NGA 28420.",IND-138,,https://www.dgll.nic.in/sites/default/files/2022-11/Jakhau%20Lighthouseand%20Vts%20Station.png,True,,"[""Position printed with seconds marks (23°14.36\"", 68°36.43\"") but values read as decimal minutes"", ""Year of lighthouse commissioned 1957, but Date of Commissioning given as 1st April 1965 (Lighthouse)"", ""Off-grid solar system stated as non-operational""]","{""racon"": 2004}","{""racon"": {""year"": 2004, ""src"": ""ledger""}, ""ais"": {""year"": 2012, ""src"": ""network""}}",[2303],DGLL
navlakhi-lighthouse,Navlakhi Lighthouse,lighthouse,Gandhidham (VTS),22.961,70.4439,DGLL ledger,,F 0370,Fl (W) 10Sec. (1 + 9 = 10Sec),Fl,W,1,10,"[1.0, 9.0]",ledger,1,False,,12,16.2,,12,,31,flasher,,Type of Light (LED Flasher); Lantern: 12NM MLB-200-13 marine LED lantern,"Advance Navigation and Solar Technologies, New Delhi",MLB-200-13,12NM marine LED lantern (LED Flasher),,,,,,True,True,False,False,B,,False,Circular RCC tower,30,White and red Alternate Horizontal bands,2012,1932,closed,False,False,True,https://www.dgll.nic.in/sites/default/files/2022-12/Master%20Ledger%20Gandhidham%2012.pdf,https://www.dgll.nic.in/DGLL-light-house-location/about-vts-gandhi-dham/navlakhi-lighthouse,"2012 (station established 1932). Active; focal plane 30 m (198 ft); three white flashes every 10 s. 30 m (98 ft) round concrete tower with lantern, gallery, and an observation level, very similar to the Bhadreswar lighthouse at right. Tower painted with horizontal red and white bands. Saiad Sekh has a 2023 photo, Rajesh Shah has a distant view, and Google has a satellite view. The light guides ships approaching the port facility at Navlakhi at the head of the Gulf of Kachchh. The original light was replaced in 1985 by a 24 m (79 ft) skeletal tower. That lighthouse was knocked out of service by the earthquake of 26 January 2001, but it was restored and returned to service the following month.",IND-155,,https://www.dgll.nic.in/sites/default/files/2022-11/Navlakhi%20Lighthouse.png,True,,"[""Characteristic Fl (W) 10Sec (1 + 9) conflicts with lantern character '3fl (W) every 10Sec {(0.5+1.5)2+0.5+5.5=10Sec.}'"", ""Year of Establishment '1910 and re-established in 2012'"", ""Page footer reads 'Page 2 of 8' but PDF has only 2 pages""]",{},"{""racon"": {""year"": 2004, ""src"": ""network""}}",[2303],DGLL
chhachhi-lighthouse-and-vts-station,Chhachhi Lighthouse And Vts Station,lighthouse,Gandhidham (VTS),22.95333,69.00167,DGLL ledger,,F-0356,Fl (3)W 15 sec. [(0.35+2.15+0.35+2.15+0.35+9.65 =15 sec.)],Fl,W,3,15,"[0.35, 2.15, 0.35, 2.15, 0.35, 9.65]",ledger,0.35,False,,19,14,19.3,14,85383,32,revolving,4,B.B.T. France make 250 mm (4th order large) revolving type,B.B.T. France,,250 mm (4th order large) revolving type,250 mm,,,,,True,True,True,False,,,True,Square masonry stone tower,,3 Black and 2 white bands,1964,1957,grounds,False,False,True,https://www.dgll.nic.in/sites/default/files/2022-12/Master%20Ledger%20Gandhidham%2005.pdf,https://www.dgll.nic.in/DGLL-light-house-location/about-vts-gandhi-dham/chhachhi-lighthouse-and-vts-station,"1964 (station established 1957). Active; focal plane 33 m (108 ft); three white flashes every 15 s. 31 m (102 ft) square cylindrical masonry tower with lantern and gallery. Lighthouse painted with horizontal black and white bands; lantern roof painted red. DGLL's photo shows the lighthouse and the much taller traffic control tower that has stood next to it since 2008. Saurabh Parmar has a 2019 photo of the two towers, Niraj Kumar also has a photo, and Google has a satellite view of the two towers. This is an important lighthouse marking the northern entrance to the Gulf of Kachchh. Located near the village of Chhachhi about 50 km (30 mi) north northwest of Mandvi. Site open, although roads i",IND-015,,https://www.dgll.nic.in/sites/default/files/2022-11/Chhachhi%20Lighthouse%20And%20Vts%20Station.png,True,,"[""Optic 'Duration of flash: 2.1 sec' contradicts characteristic flash length 0.35 sec"", ""Elevation given as '27.43+4.57=32 M'; tower height not separately stated (VTS tower 60 m is a separate structure)"", ""established_year from lighthouse commissioning 15.06.1964 (VTS 13.02.2012)""]",{},"{""ais"": {""year"": 2012, ""src"": ""network""}}",[2303],DGLL
bhadreshwar-vts-repeater-and-lighthouse-station,Bhadreshwar Vts Repeater And Lighthouse Station,lighthouse,Gandhidham (VTS),22.9096,69.9135,DGLL ledger,,F 0365,"White 3 flash every 20 Sec [(fl 1s, ec 2s)X2, fl 1s, ec13s]",Fl,W,3,20,"[1.0, 2.0, 1.0, 2.0, 1.0, 13.0]",ledger,1,False,,16,19.0,,16,,48,flasher,,Type of Light (LED Flasher); Type of Light structure: Stationary LED Flashing Light,"Sealite, Australia",SL300-1D5-1-W,LED Flasher,Lens Diameter 373mm,,,,,True,True,False,False,,,True,Circular RCC tower,60,White,2012,2012,grounds,False,False,True,https://www.dgll.nic.in/sites/default/files/2022-12/Master%20Ledger%20Gandhidham%2010.pdf,https://www.dgll.nic.in/DGLL-light-house-location/about-vts-gandhi-dham/bhadreshwar-vts-repeater-and-lighthouse-station,"2012. Active; focal plane 77 m (253 ft); three white flashes every 20 s. 60 m (197 ft) round concrete tower with lantern and double gallery. Entire lighthouse is white. A 2023 photo is at right and Google has a satellite view. This light is mounted on a vessel traffic control tower. Located at Bhadreswar, a village about 30 km (19 mi) northwest of Mundra. Site open, tower closed. Admiralty F0365; NGA 28378.",,,https://www.dgll.nic.in/sites/default/files/2022-11/Bhadreshwar%20Vts%20Repeater%20And%20Lighthouse%20Station.png,True,,"[""Longitude printed without hemisphere letter ('69.9135°'); taken as E"", ""Tower height 60M exceeds stated light elevation 48M above MSL"", ""Items xi-xiii values appear shifted one row: 'Product Life Expectancy: 12/03/2022', 'Date of Installation: Sealite, Australia', Make blank"", ""Vertical divergence given as '>1.5°' (lower bound only)"", ""Optic line also states '13 – 19NM AT@ 0.74'""]",{},{},[2303],DGLL
mandvi-lighthouse-vts-station,Mandvi Lighthouse & Vts Station,lighthouse,Gandhidham (VTS),22.818,69.34667,DGLL ledger,,F-0357,"Group flash 3 white every 30 sec [(fl 1s, ec 5s)*2, fl 1s, ec 17s]",Fl,W,3,30,"[1.0, 5.0, 1.0, 5.0, 1.0, 17.0]",ledger,1,False,,16,18.6,19.5,16,94400,45,flasher,,Type of Light structure: Stationary LED flashing light,"Sealite, Australia",SL300-1D5-1-W,LED Flasher (Multiple LED Optic),Lens Diameter 373mm,,,,,True,True,False,False,G,,True,RCC Circular concrete Tower,60,4 black and 3 white bands (Bottom band black),2012,1856,grounds,True,False,True,https://www.dgll.nic.in/sites/default/files/2022-12/Master%20Ledger%20Gandhidham%2006.pdf,https://www.dgll.nic.in/DGLL-light-house-location/about-vts-gandhi-dham/mandvi-lighthouse-vts-station,"2012 (station established 1856). Active; focal plane 63 m (207 ft); three white flashes, separated by 5 s, every 30 s. 30 m (98 ft) round cylindrical concrete vessel traffic control tower with two circular observation levels. Lighthouse painted with red and white horizontal bands. Hitendra Vankani's 2024 photo is at right, Tanmay Vora has a closeup photo, Hardik Dhayani has a 2015 photo, Vinay Toprani has a photo, and Google has a 2023 street view and a satellite view. The 1964 lighthouse (previous entry) was a cylindrical concrete tower with lantern and gallery; that lighthouse was demolished after being heavily damaged by the earthquake of 26 January 2001. It was replaced by a skeletal tow",IND-145,,https://www.dgll.nic.in/sites/default/files/2022-11/Mandvi%20Lighthouse%20%26%20Vts%20Station.png,True,,"[""Light installed at 45 m on a 60 m RCC radar/VTS tower; established_year taken from Date of Commissioning 13/02/2012"", ""Vertical divergence given as '>1.5°'""]",{},"{""racon"": {""year"": 2004, ""src"": ""network""}}",[2303],DGLL
rawal-pir-lighthouse,Rawal Pir Lighthouse,lighthouse,Gandhidham (VTS),22.81479,69.39204,Lighthouse Directory map link,,F 0360,green flash every 3 s,Fl,G,1,3.0,"[0.35000000000000003, 2.65]",derived,,,,,17.8,,17.8,,40.0,,,,,,,,,,,,,,,,,,False,31 m (102 ft) round concrete tower with lantern and two galleries painted with red and white spiral bands,31.0,tower with lantern and two galleries painted with red and white spiral bands,2020,1936,,True,False,False,,,"2020 (station established 1936). Active; focal plane 40 m (131 ft); green flash every 3 s. 31 m (102 ft) round concrete tower with lantern and two galleries painted with red and white spiral bands. Vinay Ahirwar has a 2025 photo, a 2022 closeup photo is available, Samat Vagha has a 2021 photo, and Google has a satellite view. The listed location is the same as for the original light. Admiralty F0360; NGA 28404.",,,,,True,,{},{},[2116],
navinal-lighthouse-and-vts-station,Navinal Lighthouse And Vts Station,lighthouse,Gandhidham (VTS),22.7679,69.6725,DGLL ledger,,F0361.82,Gp Fl 2 (W) every 10 Second,Fl,W,2,10,"[0.7, 1.0, 0.7, 7.6]",derived,,False,,15,19.0,,15,,48,flasher,,Optical Equipment: SL-155 With 9 degree elevation; Type of Light (LED Flasher); LED LANTERN,Sealite,SL-155-2.5D-W,LED Flasher,,,,,,True,True,True,False,C,,True,RCC Circular concrete Tower (Light is installed at the height of 45 mtr),60,4 black and 3 white bands. (Bottom band black),,1892,,False,False,True,https://www.dgll.nic.in/sites/default/files/2022-12/Master%20Ledger%20Gandhidham%2009.pdf,https://www.dgll.nic.in/DGLL-light-house-location/about-vts-gandhidham/navinal-lighthouse-and-vts-station,"Date unknown (station established 1892). Active; focal plane about 65 m (213 ft); two white flashes every 15 s. 60 m (197 ft) round cylindrical concrete vessel traffic control tower with lantern and gallery, painted with horizontal black and white bands; lantern roof painted red. Daksh Joshi's 2020 photo is at right, a 2018 photo is available and Google has a satellite view. Navinal Point is a swampy point of land sheltering Mundra Creek; Admiralty F0361.82.",,,https://www.dgll.nic.in/sites/default/files/2022-11/Navinal%20Lighthouse%20And%20Vts%20Station.png,True,,"[""RACON mentioned only in power source line ('Recon PMPI X band'); no RACON section or make/code details"", ""Illuminant cites a 170 watt solar panel while power source lists a 100 watt solar panel for the light"", ""Date of commissioning 13/02/2012 (VTS) differs from Year First Light Commissioned 01.06.1965; subsequent development 1988, 1993, 1997, 2003"", ""Effective beam intensity not stated""]",{},"{""racon"": {""year"": 2004, ""src"": ""network""}, ""ais"": {""year"": 2012, ""src"": ""network""}}","[2568, 2303, 2089]",DGLL
mungra-reef-lighthouse,Mungra Reef Lighthouse,lighthouse,Gandhidham (VTS),22.75983,70.1835,DGLL ledger,,0367.8,Fl (2) W 15Sec. 0.75+1+0.75+12.5 = 15Sec.,Fl,W,2,15,"[0.75, 1.0, 0.75, 12.5]",ledger,0.75,True,Visibility sector: 360°,12,8,,8,,7,flasher,,"Navaid NE-9 LED Light Beacon, drum optic, Type of flasher: Auto-flash; Pedestal N/A",Navaid,NE-9,"LED Light Beacon, drum optic",drum optic,,,,,True,True,False,False,,,False,"White round concrete tower, red bands",10,White - red band,1890,1890,closed,False,False,True,https://www.dgll.nic.in/sites/default/files/2022-12/Master%20Ledger%20Gandhidham%2016.pdf,https://www.dgll.nic.in/DGLL-light-house-location/about-vts-gandhi-dham/mungra-reef-lighthouse,"1890 (rebuilt and lit in 1997; rebuilt a second time in 1999). Active; focal plane 10 m (33 ft); two white flashes every 10 s. 10 m (33 ft) round cylindrical concrete tower on a circular masonry pier. Tower painted red with one white horizontal band. The Indian Logistics Info photo is at right, but the light is not seen in Bing's satellite view. The lighthouse marks a dangerous reef on the approach to Jodiya Bandar. The native state of Nawanagar built this beacon. It was rebuilt in 1999 after being heavily damaged by a tropical cyclone on 9 June 1998. Located in the Gulf of Kachchh about 12 km (7.5 mi) northwest of Jodiya Bandar. Accessible only by boat. Site and tower closed. ARLHS IND-151;",IND-151,,https://www.dgll.nic.in/sites/default/files/2022-11/Mungra_Reef_Lighthouse.png,True,,"[""Effective Beam Intensity value missing (only unit 'Candela' printed)""]",{},{},[],DGLL
jodiya-lighthouse,Jodiya Lighthouse,lighthouse,Gandhidham (VTS),22.725,70.28,DGLL ledger,,0368,Fl (W) 10Sec. (1 + 9 = 10Sec),Fl,W,1,10,"[1.0, 9.0]",ledger,1,True,Visibility sector: 360°,11,14,,11,,31,flasher,,"Marine LED Lantern NE-9A, Type of Light (LED Flasher), Operation: Flashing","NavAids Pvt Ltd, Delhi",NE-9A,Marine LED Lantern (Three-Tier),,,,,,True,True,False,False,,,False,Frame work tower (Trestle tower),30,White,2002,1903,grounds,False,False,True,https://www.dgll.nic.in/sites/default/files/2022-12/Master%20Ledger%20Gandhidham%2013.pdf,https://www.dgll.nic.in/DGLL-light-house-location/about-vts-gandhi-dham/jodiya-lighthouse,"2002 (station established 1903). Active; focal plane 31 m (102 ft); white flash every 10 s. 30 m (98 ft) skeletal tower, painted white. A 2021 photo and a distant 2025 view are available and Google has a satellite view. The 1993 lighthouse, a round cylindrical masonry tower with gallery attached to a small square 1-story equipment room, was destroyed by the earthquake of 26 January 2001. The original lighthouse was a small cast iron tower purchased from Chance Brothers by the native state of Nawanagar. Located at Jodiya (Jodia), a small port on the upper Gulf of Kachchh. Site open, tower closed. ARLHS IND-141; Admiralty F0368; NGA 28368.",IND-141,,https://www.dgll.nic.in/sites/default/files/2022-11/Jodiya_Lighthouse.png,True,,[],{},{},[],DGLL
