station,src,credit,width,height,bytes,sha256,full
achara-point-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/ACHARA%20POINT%20LIGHTHOUSE.jpg,DGLL,878,1314,142914,e9a67f2029d69cb019ff4dc08d45ff7d0408ae7b8276f06b9d16ecbfbb1050eb,photos/full/achara-point-lighthouse.jpg
agatti-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/AGATTI%20LIGHTHOUSE.jpg,DGLL,960,1280,303592,54f80589b3dae4ffaaeddbdeb3ef7c323bef6ad0a0cb2c7cffb669abb47c7ccf,photos/full/agatti-lighthouse.jpg
aguada-lighthouse-and-dgps-station,https://www.dgll.nic.in/sites/default/files/2022-11/AGUADA%20LIGHTHOUSE%20AND%20D.G.P.S%20STATION.jpg,DGLL,345,526,42287,f4b6f2c1fa66a1623dd4c6b1b791c8c9b21c4532a4ebe0cef70a926c6c4682d7,photos/full/aguada-lighthouse-and-dgps-station.jpg
alang-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/J-15.jpg,DGLL,720,1600,247155,3a64296643bb193c9b600aea766ffe4fcbd44d81c3abdfadf4858457d9864454,photos/full/alang-lighthouse.jpg
alappuzha-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/ALAPPUZHA%20LIGHTHOUSE.jpg,DGLL,1080,1350,445927,d915adcc64a766102b437ed0e7a6b2a679c3715d39ab8bd186a8c50ea33783e2,photos/full/alappuzha-lighthouse.jpg
amini-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/AMINI%20%20LIGHTHOUSE.jpg,DGLL,725,425,69617,53a9f67f457cabd1d2fc1e0b7f6d334f49ffc66716e7a784aab38ad1f2d27a51,photos/full/amini-lighthouse.jpg
ammapattinam-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/dg14.jpg,DGLL,476,998,112121,9e5c8ed21658ed0b3ee1195728c1734da70b76e8ea512e00c9474fe9109b6c18,photos/full/ammapattinam-lighthouse.jpg
andaman-strait-eastern-entrance-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/11.png,DGLL,434,554,506103,883b577840d63a2dcd668c06c9b5230ad8f889df33a86ef163014b5667911519,photos/full/andaman-strait-eastern-entrance-lighthouse.png
androth-east-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/ANDROTH%20EAST%20LIGHTHOUSE.jpg,DGLL,960,1280,268336,5fa5814322dcfe898ba433e7bd90f6fa69a060ad876fb00ec8e5dbac8d6987e2,photos/full/androth-east-lighthouse.jpg
androth-west-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/ANDROTH%20WEST%20LIGHTHOUSE.jpg,DGLL,620,941,92371,310ebc3053b0ff2702a08f076357bdc8f0f1eb5ed9a10dacc835137fbb306a79,photos/full/androth-west-lighthouse.jpg
anjengo-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/ANJENGO%20LIGHTHOUSE.jpg,DGLL,340,440,41256,abc6b17ab976fbe58cc5140500bc4fd34f0d74635cc57a189afa2d90a5a42e2f,photos/full/anjengo-lighthouse.jpg
antervedi-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Antervedi%20Lighthouse.jpg,DGLL,653,1160,198084,4033e082c4ce93de621734902758f31a94e6f2d0d9d04d8c1d2a91aa18efbea0,photos/full/antervedi-lighthouse.jpg
armagon-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Armagon%20Lighthouse.jpg,DGLL,680,1024,93813,9928cfb18d362a6d8e502abe542370b0bd53f2ef633a3b3326f4ee83bec6cc2c,photos/full/armagon-lighthouse.jpg
arnala-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Arnala%20Lighthouse.jpg,DGLL,585,1040,114281,387c2669c41a044e01accdede16751d4b464b47ac4ecdce0c0af64ce7920c126,photos/full/arnala-lighthouse.jpg
aves-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/5.png,DGLL,486,529,675089,cde3aa7be013bc0c3f7b0cf3ca3b803308b3913b3ce604c53c9a9f6a52c29850,photos/full/aves-lighthouse.png
azhikode-lighthouse-and-dgps-station,https://www.dgll.nic.in/sites/default/files/2022-11/AZHIKODE%20LIGHTHOUSE%20AND%20DGPS%20STATION.jpg,DGLL,706,975,182555,4c7b678b3f35447b53eaca517157ee583ebb02937c7f5b1e560919d40bd9b818,photos/full/azhikode-lighthouse-and-dgps-station.jpg
bampoka-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/26.png,DGLL,445,511,483335,83a389068371c89029df41572af275fc4468a79edc9aad5406dc9b3f1dc019ba,photos/full/bampoka-lighthouse.png
battimalv-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/23.png,DGLL,347,553,506058,8eba22f155f4ecd381347057928555a2fc0a49d19e4aa70a657259e7500ce552,photos/full/battimalv-lighthouse.png
belekeri-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Belekeri%20Lighthouse.jpg,DGLL,1558,1171,953862,7b504318f4ac9a1215256e9b50291531ec74295a7def7f8a06d4af8902650b67,photos/full/belekeri-lighthouse.jpg
betul-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/BETUL%20LIGHTHOUSE.jpg,DGLL,821,1177,213507,5cb8388bfc94688ebd244e15270887e25dc6c1fc635f6760d6442f21e8f6eb0b,photos/full/betul-lighthouse.jpg
beypore-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/BEYPORE%20LIGHTHOUSE.jpg,DGLL,1154,1600,386648,66b94cd0b4fb3cab7466b5b3412d6da218fcfeafb729c87ec827ad55148a0de4,photos/full/beypore-lighthouse.jpg
bhadreshwar-vts-repeater-and-lighthouse-station,https://www.dgll.nic.in/sites/default/files/2022-11/Bhadreshwar%20Vts%20Repeater%20And%20Lighthouse%20Station.png,DGLL,393,564,280771,a761ad5f1dcf79099156feba958776b90f7cf5e893999e4955be0938d8860b50,photos/full/bhadreshwar-vts-repeater-and-lighthouse-station.png
bhatkal-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/BHATKAL%20LIGHTHOUSE.jpg,DGLL,935,1247,265883,66c9260d2b4a100412b4effa796c270ab93aa9ed5f391a720258de4f3f824855,photos/full/bhatkal-lighthouse.jpg
bheemlipatnam-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Bheemlipatnam%20Lighthouse.jpg,DGLL,985,853,133726,945a220aa0b31320a66c7dca54f82259a0f4a70dc62ddb40f4e1f2632c805e44,photos/full/bheemlipatnam-lighthouse.jpg
bhirbhanjan-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/J-8.jpg,DGLL,576,1280,135267,c297769090dbe5e70da12211e9436a9e5db628c4f70b96df54ef472d40286e3f,photos/full/bhirbhanjan-lighthouse.jpg
bitra-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/BITRA%20LIGHTHOUSE.jpg,DGLL,725,425,59576,c90300454aa31ef12e585cb23cb8f6ae972fa3f357f7e7e817cb7dd09ba54731,photos/full/bitra-lighthouse.jpg
bural-reef-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Bural_Reef_Lighthouse%20.png,DGLL,379,522,282270,4a8d1edf35aa85fa1556d70b44c902622787b65bad60b6464c22bcf6afa824ce,photos/full/bural-reef-lighthouse.png
campbellbay-dgps-station,https://www.dgll.nic.in/sites/default/files/2022-11/37.jpg,DGLL,561,421,76336,7185b51bf20eac615d27cf7dff602de001a05770a40578c208d9518e64299c30,photos/full/campbellbay-dgps-station.jpg
cape-cannaught-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/27.png,DGLL,435,513,524814,be944ea260de47fd5e902be1452b6277adb1d608ae133e753bcbc2386bb2abfc,photos/full/cape-cannaught-lighthouse.png
chank-tapu-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Chank_Tapu_Lighthouse.png,DGLL,354,507,301643,44b3b15dad8d81d1391c87e8da36a03d4abdb798607e555c2ff18f11466a2d7e,photos/full/chank-tapu-lighthouse.png
chaul-kadu-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Chaul%20kadu%20lighthouse.jpg,DGLL,677,879,97259,959d5c17cd7795cf30c76698256eeb116a613460808168ae68953d46010fa02e,photos/full/chaul-kadu-lighthouse.jpg
chennai-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/dg23.jpg,DGLL,960,1280,176472,1da5d79c614515ef4e7cb058ebefcf55580730bc1a7dff3329eaf369cbe5d06a,photos/full/chennai-lighthouse.jpg
chetlat-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/CHETLAT%20LIGHTHOUSE.jpg,DGLL,725,425,58131,9ac82c3a178d1461cc9af4ad564d2e49ab65cc4879b0e1b843e49101aab6180e,photos/full/chetlat-lighthouse.jpg
chetwai-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Chetwai%20Lighthouse.jpg,DGLL,382,469,40634,7bcd5b301f2049fe080b9221b9cf8a8da7f1eb5c3af55947a23b211ba18ed5d9,photos/full/chetwai-lighthouse.jpg
chhachhi-lighthouse-and-vts-station,https://www.dgll.nic.in/sites/default/files/2022-11/Chhachhi%20Lighthouse%20And%20Vts%20Station.png,DGLL,380,523,281451,393bbb5b3784207cde99f24b2739e07100c54e3330ea8998ff56991b151c1fd4,photos/full/chhachhi-lighthouse-and-vts-station.png
chidiyatapu-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/15.png,DGLL,440,552,586773,1f4cae727bc790d3abcf57925aac1da239074d2ddbddf4389d9402852c0c04a0,photos/full/chidiyatapu-lighthouse.png
chowra-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/24.png,DGLL,431,498,519701,62202e94940971f57af6bd3916c9e005af28e229d659ae6211ee93421ab65bf5,photos/full/chowra-lighthouse.png
cuddalore-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/dg6.jpg,DGLL,969,1291,285861,6b403f793c1e008124657f9eef91f8475871dfb6a8f498034a3d8c8a8d2434bb,photos/full/cuddalore-lighthouse.jpg
dahanu-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Dahanu%20Lighthouse.jpg,DGLL,720,1280,108221,2d5577f920b29cbbab4b43312792b8638a30c65294971b859728193441ad2fe3,photos/full/dahanu-lighthouse.jpg
dariapur-lighthouse,https://commons.wikimedia.org/wiki/Special:FilePath/Dariapur%20Lighthouse%20-%20East%20Midnapore%202016-06-18%204577.JPG,Wikimedia Commons,6016,4000,17253158,d8d62e943dd23cb47f991a04dcd395f7ac727cb162be88c8d05207bbdf67eda9,photos/full/dariapur-lighthouse.jpg
devgad-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/DEVGAD%20LIGHTHOUSE.jpg,DGLL,609,1217,134770,c58c0e097452f0f49a2efcd32de4ad6fb5cc5a398f26008dee85ea0b64359e76,photos/full/devgad-lighthouse.jpg
dhanushkodi-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/dg19.jpg,DGLL,931,1069,98190,fed40a740725e7cb7ea1dc0238c951fdb021ae877754cb58a5be5fec93eb17d1,photos/full/dhanushkodi-lighthouse.jpg
diu-head-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/J-9.jpg,DGLL,719,1280,78683,0bf61378198eca8eff1f74d746c6cfad0b8fa065bbc8ad12767d71f470541ce9,photos/full/diu-head-lighthouse.jpg
dolphin-nose-lighthouse,https://www.dgll.nic.in/sites/default/files/2022-11/Dolphin%20Nose%20Lighthouse.png,DGLL,755,651,660430,abb90786ada2662eb3f568ec60784e8bcdf87c44ec8e663bb4a89efb567a98f1,photos/full/dolphin-nose-lighthouse.png
